pos,key_resp.corr,key_resp.rt,,seq,rand
-50,1,1.1569007,,1.1569007,0.3874704
150,1,0.6292406,,0.6292406,0.4960949
50,1,0.8911016,,0.8911016,0.3816387
-150,1,0.584066,,0.584066,0.6314735
-50,1,0.7956713,,0.7956713,0.5467266
150,1,0.5287758,,0.5287758,0.7352946
50,1,0.8205245,,0.8205245,0.4692406
-150,1,0.3280412,,0.3280412,0.3376146
-50,1,0.8096141,,0.8096141,0.6680227
150,1,0.420818,,0.420818,0.7250854
50,1,0.6696013,,0.6696013,0.3384237
-150,1,0.4448719,,0.4448719,0.3999819
-50,1,0.4514119,,0.4514119,0.2823887
150,1,0.4522793,,0.4522793,0.7167546
50,1,1.8998308,,1.8998308,0.3610991
-150,1,0.3377543,,0.3377543,0.5407807
-50,1,0.3046137,,0.3046137,0.6145466
150,1,0.3511755,,0.3511755,0.5955154
50,1,1.127147,,1.127147,0.4712698
-150,1,0.4760367,,0.4760367,0.3372381
-50,1,0.3771247,,0.3771247,0.566791
150,1,0.3244214,,0.3244214,0.3817208
50,1,0.5582911,,0.5582911,0.4855003
-150,1,0.292762,,0.292762,0.5139951
-50,1,0.3105157,,0.3105157,0.50895
150,1,0.3187166,,0.3187166,0.6175053
50,1,0.7055028,,0.7055028,0.8335018
-150,1,0.3076799,,0.3076799,0.4048616
-50,1,0.3691827,,0.3691827,0.5900257
150,1,0.4440856,,0.4440856,0.5058017
50,1,0.625217,,0.625217,0.6481998
-150,1,0.3072855,,0.3072855,0.4407117
-50,1,0.4078694,,0.4078694,0.8341178
150,1,0.3599932,,0.3599932,0.4340931
50,1,0.6476611,,0.6476611,0.6221202
-150,1,0.2964273,,0.2964273,0.477439
-50,1,0.5889533,,0.5889533,0.7960457
150,1,0.6139849,,0.6139849,0.4842254
50,0,0.5749616,,0.5749616,0.5479677
-150,1,0.4699237,,0.4699237,0.4252489
-50,1,0.529168,,0.529168,0.5168129
150,1,0.500343,,0.500343,0.4464872
50,1,0.8678864,,0.8678864,0.5247506
-150,1,0.3886465,,0.3886465,0.574115
-50,1,0.4197173,,0.4197173,0.4692794
150,1,0.4431728,,0.4431728,0.4596882
50,1,0.7675005,,0.7675005,0.6474233
-150,1,0.5530803,,0.5530803,0.2945595
-50,1,0.8000732,,0.8000732,0.396641
150,1,0.4021154,,0.4021154,0.3791881
50,1,0.6293824,,0.6293824,0.3128157
-150,1,0.3674844,,0.3674844,0.5793824
-50,1,0.5115638,,0.5115638,0.7312443
150,1,0.4119147,,0.4119147,0.3982841
50,1,0.7097293,,0.7097293,0.4358964
-150,1,0.3791047,,0.3791047,0.5335247
-50,1,0.5590975,,0.5590975,0.4939175
150,1,0.4033419,,0.4033419,0.6120187
50,1,0.6624524,,0.6624524,0.7310329
-150,1,0.3483197,,0.3483197,0.6877822
-50,1,0.5841011,,0.5841011,0.500034
150,1,0.369532,,0.369532,0.7044208
50,1,0.6509972,,0.6509972,0.6427754
-150,1,0.3615177,,0.3615177,0.52723
-50,1,0.7345026,,0.7345026,0.3391202
150,1,0.4753931,,0.4753931,0.7391454
50,1,0.7323369,,0.7323369,0.9560136
-150,1,0.3544255,,0.3544255,0.7600634
-50,1,0.5730454,,0.5730454,2.556903
150,1,0.3154721,,0.3154721,0.6812912
50,1,0.6784264,,0.6784264,0.514389
-150,1,0.2952341,,0.2952341,0.5499097
-50,1,0.5989076,,0.5989076,0.3269929
150,1,0.3762754,,0.3762754,0.6013981
50,1,0.7555867,,0.7555867,0.5688202
-150,1,0.4621212,,0.4621212,0.5502175
-50,1,0.4827837,,0.4827837,0.3060038
150,1,0.4571362,,0.4571362,0.4270808
50,1,0.6647148,,0.6647148,0.6331292
-150,1,0.2964553,,0.2964553,0.7981802
-50,1,0.5292183,,0.5292183,0.4710816
150,1,0.5839545,,0.5839545,1.0190418
50,1,0.8240631,,0.8240631,0.4693306
-150,1,0.463573,,0.463573,0.5759329
-50,1,0.5030057,,0.5030057,0.6548591
150,1,0.4647572,,0.4647572,0.3853617
50,1,0.8586236,,0.8586236,1.0945579
-150,1,0.8757844,,0.8757844,0.4104938
-50,1,0.6786355,,0.6786355,0.8182801
150,1,0.3917687,,0.3917687,0.6603507
50,1,0.7317502,,0.7317502,0.3509499
-150,1,0.4259999,,0.4259999,0.5874568
